county, localnewspapers
Los Angeles,https://www.latimes.com
San Diego,https://www.sandiegouniontribune.com/
Orange,https://www.ocregister.com/
Riverside,https://www.pe.com/
San Bernardino,https://www.sbsun.com/
San Francisco,https://www.sfchronicle.com/
Fresno,https://thebusinessjournal.com/
Santa Clara,https://www.mercurynews.com/location/santa-clara-county/
Alameda,https://www.eastbaytimes.com/location/alameda/
Sacramento,http://www.ledger.news/news/late_breaking_news/
Contra Costa,https://www.mercurynews.com/location/california/bay-area/east-bay/contra-costa-county/
Kern,https://www.bakersfield.com/
Ventura,https://www.vcstar.com/
San Mateo,https://www.mercurynews.com/location/san-mateo-county/
San Joaquin,https://www.eastbaytimes.com/author/san-joaquin-herald/
Stanislaus,https://www.newsbreak.com/california/modesto
Sonoma,http://www.sonomawest.com/
Tulare,https://www.visaliatimesdelta.com/
Santa Barbara,https://www.independent.com/
Monterey,https://www.montereyherald.com/
Solano,https://www.thereporter.com/
Placer,https://www.mtdemocrat.com/
San Luis Obispo,https://calcoastnews.com/
Santa Cruz,https://www.santacruzsentinel.com/
Merced,https://mercedcountytimes.com/
Marin,https://www.marinij.com/
Butte,https://www.chicoer.com/
Yolo,https://www.davisenterprise.com/
El Dorado,https://www.mtdemocrat.com/
Shasta,https://www.redding.com/
Imperial County,https://www.thedesertreview.com/
Madera,https://www.newsbreak.com/california/madera
Kings,https://hanfordsentinel.com/
Napa,https://napavalleyregister.com/
Humboldt,https://www.times-standard.com/
Mendocino,https://www.mendocinobeacon.com/
Yuba,https://www.appeal-democrat.com/colusa_sun_herald/
Lake,https://www.lakeconews.com/
Tehama,https://www.redbluffdailynews.com/
San Benito,https://www.newsbreak.com/california/hollister
Tuolumne,https://www.uniondemocrat.com/
Calaveras,http://www.calaverasenterprise.com/news/
Siskiyou,https://www.siskiyoudaily.com/
Amador,http://www.ledger.news/
Lassen,https://www.susanvillestuff.com/
Del Norte,https://www.triplicate.com/
Colusa,https://www.appeal-democrat.com/colusa_sun_herald/
Plumas,https://www.plumasnews.com/
Inyo,https://www.inyoregister.com/
Mono,https://www.mammothtimes.com/
Modoc,https://www.heraldandnews.com/news/region/modoc/
